,V1,V2,mean,variance
289,2.0117,0.1,0.047440,0.000000
290,2.0117,0.2,0.053190,0.000000
291,2.0117,0.3,0.059403,0.000000
292,2.0117,0.4,0.066091,0.000000
293,2.0117,0.5,0.073264,0.000000
294,2.0117,0.6,0.080927,0.000001
295,2.0117,0.7,0.089084,0.000001
296,2.0117,0.8,0.097735,0.000001
297,2.0117,0.9,0.106877,0.000001
298,2.0117,1,0.116503,0.000002
299,2.0117,1.1,0.126602,0.000002
300,2.0117,1.2,0.137162,0.000003
301,2.0117,1.3,0.148165,0.000003
302,2.0117,1.4,0.159591,0.000004
303,2.0117,1.5,0.171418,0.000005
304,2.0117,1.6,0.183619,0.000006
305,2.0117,1.7,0.196167,0.000007
306,2.0117,1.8,0.209031,0.000008
307,2.0117,1.9,0.222181,0.000009
308,2.0117,2,0.235583,0.000010
309,2.0117,2.1,0.249205,0.000012
310,2.0117,2.2,0.263012,0.000013
311,2.0117,2.3,0.276972,0.000015
312,2.0117,2.4,0.291053,0.000016
313,2.0117,2.5,0.305222,0.000018
314,2.0117,2.6,0.319448,0.000020
315,2.0117,2.7,0.333704,0.000021
316,2.0117,2.8,0.347962,0.000023
317,2.0117,2.9,0.362195,0.000025
318,2.0117,3,0.376382,0.000026
319,2.0117,3.1,0.390499,0.000028
320,2.0117,3.2,0.404528,0.000029
321,2.0117,3.3,0.418450,0.000031
322,2.0117,3.4,0.432249,0.000032
323,2.0117,3.5,0.445911,0.000034
324,2.0117,3.6,0.459422,0.000035
325,2.0117,3.7,0.472770,0.000037
326,2.0117,3.8,0.485943,0.000038
327,2.0117,3.9,0.498931,0.000039
328,2.0117,4,0.511723,0.000040
329,2.1171,0,0.042030,0.000000
330,2.1171,0.1,0.047306,0.000000
331,2.1171,0.2,0.053029,0.000000
332,2.1171,0.3,0.059213,0.000000
333,2.1171,0.4,0.065870,0.000000
334,2.1171,0.5,0.073008,0.000000
335,2.1171,0.6,0.080634,0.000001
336,2.1171,0.7,0.088751,0.000001
337,2.1171,0.8,0.097360,0.000001
338,2.1171,0.9,0.106457,0.000002
339,2.1171,1,0.116036,0.000002
340,2.1171,1.1,0.126087,0.000002
341,2.1171,1.2,0.136596,0.000003
342,2.1171,1.3,0.147547,0.000004
343,2.1171,1.4,0.158921,0.000004
344,2.1171,1.5,0.170694,0.000005
345,2.1171,1.6,0.182841,0.000006
346,2.1171,1.7,0.195334,0.000007
347,2.1171,1.8,0.208144,0.000009
348,2.1171,1.9,0.221241,0.000010
349,2.1171,2,0.234590,0.000011
350,2.1171,2.1,0.248160,0.000013
351,2.1171,2.2,0.261917,0.000015
352,2.1171,2.3,0.275829,0.000016
353,2.1171,2.4,0.289863,0.000018
354,2.1171,2.5,0.303987,0.000020
355,2.1171,2.6,0.318172,0.000022
356,2.1171,2.7,0.332387,0.000023
357,2.1171,2.8,0.346607,0.000025
358,2.1171,2.9,0.360806,0.000027
359,2.1171,3,0.374960,0.000029
360,2.1171,3.1,0.389047,0.000031
361,2.1171,3.2,0.403049,0.000032
362,2.1171,3.3,0.416946,0.000034
363,2.1171,3.4,0.430723,0.000036
364,2.1171,3.5,0.444364,0.000037
365,2.1171,3.6,0.457858,0.000039
366,2.1171,3.7,0.471190,0.000040
367,2.1171,3.8,0.484350,0.000042
368,2.1171,3.9,0.497327,0.000043
369,2.1171,4,0.510111,0.000044
370,2.2349,0,0.041918,0.000000
371,2.2349,0.1,0.047171,0.000000
372,2.2349,0.2,0.052868,0.000000
373,2.2349,0.3,0.059023,0.000000
374,2.2349,0.4,0.065648,0.000000
375,2.2349,0.5,0.072752,0.000001
376,2.2349,0.6,0.080341,0.000001
377,2.2349,0.7,0.088419,0.000001
378,2.2349,0.8,0.096985,0.000001
379,2.2349,0.9,0.106038,0.000002
380,2.2349,1,0.115570,0.000002
381,2.2349,1.1,0.125572,0.000003
382,2.2349,1.2,0.136031,0.000003
